Accuracy,Balanced_Accuracy,Sensitivity,Specificity,Precision,F1,MCC,AUC_ROC,PR_AUC,Brier,MS_Research_Score,Model,Fold,Best_Params
0.5217391304347826,0.4151785714285714,0.6875,0.14285714285714285,0.6470588235294118,0.6666666666666666,-0.17776428228421592,0.4553571428571429,0.72289016936366,0.40752419635482773,54.15,Logistic Regression,1,"{""kbest__k"": 200, ""model__C"": 10, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}"
0.7391304347826086,0.6919642857142857,0.8125,0.5714285714285714,0.8125,0.8125,0.38392857142857145,0.6964285714285714,0.8268912054685083,0.20064970349401523,74.82,Logistic Regression,2,"{""kbest__k"": 200, ""model__C"": 0.01, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}"
0.8260869565217391,0.7946428571428572,0.875,0.7142857142857143,0.875,0.875,0.5892857142857143,0.9464285714285714,0.977890114379085,0.11865797516348618,88.48,Logistic Regression,3,"{""kbest__k"": 200, ""model__C"": 10, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}"
0.8695652173913043,0.8660714285714286,0.875,0.8571428571428571,0.9333333333333333,0.9032258064516129,0.7073171983259131,0.9642857142857143,0.9837863270308124,0.07538810797627819,91.87,Logistic Regression,4,"{""kbest__k"": 200, ""model__C"": 10, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}"
0.7391304347826086,0.6833333333333333,0.8666666666666667,0.5,0.7647058823529411,0.8125,0.397705839334203,0.7166666666666667,0.8128619219331294,0.19480960765659527,75.45,Logistic Regression,5,"{""kbest__k"": 100, ""model__C"": 0.01, ""model__penalty"": ""l2"", ""model__solver"": ""lbfgs""}"
0.6086956521739131,0.4776785714285714,0.8125,0.14285714285714285,0.6842105263157895,0.7428571428571429,-0.05419437309525749,0.46428571428571425,0.7250321246306154,0.31786870229800923,59.19,SVM,1,"{""kbest__k"": 200, ""model__C"": 0.1, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}"
0.782608695652174,0.6830357142857143,0.9375,0.42857142857142855,0.7894736842105263,0.8571428571428571,0.4443938593811115,0.7589285714285714,0.883637293058249,0.16836795253551803,78.98,SVM,2,"{""kbest__k"": 200, ""model__C"": 0.1, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}"
0.8260869565217391,0.7946428571428572,0.875,0.7142857142857143,0.875,0.875,0.5892857142857143,0.9285714285714286,0.9686181363571069,0.10605662787794293,88.02,SVM,3,"{""kbest__k"": 200, ""model__C"": 0.1, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}"
0.8695652173913043,0.8258928571428572,0.9375,0.7142857142857143,0.8823529411764706,0.9090909090909091,0.6829890845656718,0.9553571428571428,0.9805183531746032,0.07621401926288231,91.07,SVM,4,"{""kbest__k"": 200, ""model__C"": 0.1, ""model__gamma"": ""scale"", ""model__kernel"": ""linear""}"
0.782608695652174,0.7166666666666667,0.9333333333333333,0.5,0.7777777777777778,0.8484848484848485,0.5003702332976756,0.6916666666666667,0.825255931432402,0.19453464438605259,77.04,SVM,5,"{""kbest__k"": 50, ""model__C"": 1, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}"
0.43478260869565216,0.4330357142857143,0.4375,0.42857142857142855,0.6363636363636364,0.5185185185185185,-0.12336594280495668,0.4732142857142858,0.7340899244253078,0.29057255725561654,52.49,Random Forest,1,"{""kbest__k"": 100, ""model__max_depth"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}"
0.782608695652174,0.7232142857142857,0.875,0.5714285714285714,0.8235294117647058,0.8484848484848485,0.46780074285319984,0.6607142857142857,0.8059023543858101,0.20756983877375046,75.46,Random Forest,2,"{""kbest__k"": 100, ""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 600}"
0.6521739130434783,0.6294642857142857,0.6875,0.5714285714285714,0.7857142857142857,0.7333333333333333,0.24412019826678427,0.6785714285714286,0.8371458660448599,0.20855280119935435,70.53,Random Forest,3,"{""kbest__k"": 200, ""model__max_depth"": null, ""model__min_samples_leaf"": 3, ""model__n_estimators"": 300}"
0.6521739130434783,0.5892857142857143,0.75,0.42857142857142855,0.75,0.75,0.17857142857142858,0.7589285714285714,0.8945794047283985,0.17700520009730464,73.3,Random Forest,4,"{""kbest__k"": 100, ""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 600}"
0.5652173913043478,0.5208333333333333,0.6666666666666666,0.375,0.6666666666666666,0.6666666666666666,0.041666666666666664,0.65,0.7685685954339205,0.22468759659655255,64.49,Random Forest,5,"{""kbest__k"": 100, ""model__max_depth"": 5, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 600}"
0.5217391304347826,0.4151785714285714,0.6875,0.14285714285714285,0.6470588235294118,0.6666666666666666,-0.17776428228421592,0.4285714285714286,0.7128039014648921,0.3712469291988071,53.69,Gradient Boosting,1,"{""kbest__k"": 100, ""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 100}"
0.7391304347826086,0.6919642857142857,0.8125,0.5714285714285714,0.8125,0.8125,0.38392857142857145,0.6696428571428571,0.8105519993315079,0.20415156917856409,73.87,Gradient Boosting,2,"{""kbest__k"": 100, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 100}"
0.5217391304347826,0.45535714285714285,0.625,0.2857142857142857,0.6666666666666666,0.6451612903225806,-0.08625819491779428,0.5178571428571429,0.7217703486206776,0.28350996936991707,57.3,Gradient Boosting,3,"{""kbest__k"": 200, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 200}"
0.782608695652174,0.6830357142857143,0.9375,0.42857142857142855,0.7894736842105263,0.8571428571428571,0.4443938593811115,0.6517857142857143,0.7524649219889157,0.21561706330305644,73.86,Gradient Boosting,4,"{""kbest__k"": 200, ""model__learning_rate"": 0.1, ""model__max_depth"": 2, ""model__n_estimators"": 200}"
0.6521739130434783,0.6166666666666667,0.7333333333333333,0.5,0.7333333333333333,0.7333333333333333,0.23333333333333334,0.6,0.7336860504426799,0.2394223441409147,66.78,Gradient Boosting,5,"{""kbest__k"": 200, ""model__learning_rate"": 0.03, ""model__max_depth"": 2, ""model__n_estimators"": 100}"
0.43478260869565216,0.5133928571428572,0.3125,0.7142857142857143,0.7142857142857143,0.43478260869565216,0.026785714285714284,0.5223214285714286,0.7469466674629718,0.4028393966282165,53.11,KNN,1,"{""kbest__k"": 100, ""model__n_neighbors"": 7, ""model__weights"": ""uniform""}"
0.6086956521739131,0.5982142857142857,0.625,0.5714285714285714,0.7692307692307693,0.6896551724137931,0.18232322463624387,0.5758928571428572,0.7097325417637919,0.2853903305254845,63.28,KNN,2,"{""kbest__k"": 50, ""model__n_neighbors"": 11, ""model__weights"": ""distance""}"
0.5217391304347826,0.5758928571428572,0.4375,0.7142857142857143,0.7777777777777778,0.56,0.1431049438115632,0.7321428571428571,0.8485334110334111,0.26086956521739135,65.67,KNN,3,"{""kbest__k"": 100, ""model__n_neighbors"": 5, ""model__weights"": ""uniform""}"
0.5217391304347826,0.6160714285714286,0.375,0.8571428571428571,0.8571428571428571,0.5217391304347826,0.23214285714285715,0.7053571428571429,0.8629786491659094,0.26751126645112866,65.35,KNN,4,"{""kbest__k"": 200, ""model__n_neighbors"": 11, ""model__weights"": ""distance""}"
0.6086956521739131,0.6125,0.6,0.625,0.75,0.6666666666666666,0.21452908258025827,0.6,0.760581681820072,0.2599833961574287,64.85,KNN,5,"{""kbest__k"": 50, ""model__n_neighbors"": 11, ""model__weights"": ""distance""}"
0.43478260869565216,0.5133928571428572,0.3125,0.7142857142857143,0.7142857142857143,0.43478260869565216,0.026785714285714284,0.4732142857142857,0.697176713089542,0.5652173267104956,49.51,Naive Bayes,1,"{""kbest__k"": 200, ""model__var_smoothing"": 1e-10}"
0.6521739130434783,0.6294642857142857,0.6875,0.5714285714285714,0.7857142857142857,0.7333333333333333,0.24412019826678427,0.6473214285714286,0.7632480777628804,0.3478239628979375,67.25,Naive Bayes,2,"{""kbest__k"": 100, ""model__var_smoothing"": 1e-10}"
0.6956521739130435,0.7008928571428572,0.6875,0.7142857142857143,0.8461538461538461,0.7586206896551724,0.3729338685741352,0.8303571428571428,0.9272794913419913,0.2785832544231849,77.37,Naive Bayes,3,"{""kbest__k"": 100, ""model__var_smoothing"": 1e-10}"
0.6521739130434783,0.5892857142857143,0.75,0.42857142857142855,0.75,0.75,0.17857142857142858,0.7589285714285715,0.9017673556663495,0.2966038207846676,72.21,Naive Bayes,4,"{""kbest__k"": 50, ""model__var_smoothing"": 1e-10}"
0.6086956521739131,0.5833333333333333,0.6666666666666666,0.5,0.7142857142857143,0.6896551724137931,0.16265001215808886,0.6416666666666666,0.7499300117953369,0.3816183217742141,64.54,Naive Bayes,5,"{""kbest__k"": 50, ""model__var_smoothing"": 1e-10}"
0.5652173913043478,0.48660714285714285,0.6875,0.2857142857142857,0.6875,0.6875,-0.026785714285714284,0.5892857142857143,0.8113113141466975,0.37332893297750047,61.52,Neural Network,1,"{""kbest__k"": 100, ""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [100], ""model__learning_rate"": ""constant""}"
0.8260869565217391,0.7544642857142857,0.9375,0.5714285714285714,0.8333333333333334,0.8823529411764706,0.567733589433837,0.6874999999999999,0.7921964513706967,0.16561081888736104,78.25,Neural Network,2,"{""kbest__k"": 200, ""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [100], ""model__learning_rate"": ""constant""}"
0.782608695652174,0.8035714285714286,0.75,0.8571428571428571,0.9230769230769231,0.8275862068965517,0.5635445125120265,0.9285714285714286,0.9705018520566121,0.16115993121065525,86.04,Neural Network,3,"{""kbest__k"": 200, ""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [50], ""model__learning_rate"": ""constant""}"
0.8260869565217391,0.7946428571428572,0.875,0.7142857142857143,0.875,0.875,0.5892857142857143,0.8928571428571428,0.9546405075187969,0.13772792695492578,86.6,Neural Network,4,"{""kbest__k"": 200, ""model__alpha"": 0.01, ""model__hidden_layer_sizes"": [100, 50], ""model__learning_rate"": ""constant""}"
0.7391304347826086,0.6833333333333333,0.8666666666666667,0.5,0.7647058823529411,0.8125,0.397705839334203,0.7,0.7901947742659817,0.23319855512037843,74.31,Neural Network,5,"{""kbest__k"": 100, ""model__alpha"": 0.0001, ""model__hidden_layer_sizes"": [50], ""model__learning_rate"": ""constant""}"
